id,movementdate,totalequids,srcid,src_longitude,src_latitude,dstid,dst_longitude,dst_latitude
24760,2022/08/13,2,6496,20.3046916,-33.45808267,10648,18.59536707,-33.57161293
24679,2022/08/14,1,6492,30.71063731,-29.82977112,6493,19.76091953,-33.83587047
24688,2022/08/14,2,6505,22.38798632,-33.95583565,5942,18.81055407,-33.76964593
24692,2022/08/14,1,6631,29.9685324,-29.18422698,65,18.9872581,-33.5088819
24733,2022/08/14,1,8299,30.70629986,-29.81111383,14,19.00152692,-33.88362308
24774,2022/08/14,7,6505,22.38156277,-33.96505567,8194,18.96021252,-33.69502748
24779,2022/08/14,2,6505,22.38976501,-33.94919119,8194,18.95165758,-33.70358242
24680,2022/08/15,2,6505,22.38463571,-33.94805,6302,18.55186754,-34.01583246
24722,2022/08/15,12,6492,30.71270704,-29.82092486,6199,18.55009204,-34.02170796
24730,2022/08/15,1,6631,29.97790348,-29.18396392,5336,18.49979929,-33.87341071
24761,2022/08/15,1,6520,22.31045468,-33.96983517,9274,19.01240753,-33.82151247
24421,2022/08/16,1,8121,29.31910363,-30.30925344,6304,18.96016822,-33.81223178
24701,2022/08/16,6,7694,30.70873579,-29.81181332,6996,19.09051321,-33.60335679
24705,2022/08/16,2,6839,29.93552685,-29.16222997,5398,18.97609291,-33.65030709
24706,2022/08/16,17,6492,30.72188159,-29.8290004,5336,18.51575894,-33.85745106
24707,2022/08/16,3,9900,30.69666714,-29.81001025,6514,19.26174321,-34.36460679
24708,2022/08/16,2,6492,30.70564538,-29.82609889,4971,18.50884743,-33.86212257
24710,2022/08/16,1,6662,29.91084868,-29.23572449,7000,19.1981824,-33.4344976
24712,2022/08/16,2,6522,28.16082588,-25.92288654,6694,19.4584093,-33.3594907
24772,2022/08/16,1,8672,22.37912109,-33.96690493,9291,18.72208154,-33.93709846
24782,2022/08/16,1,7045,27.89407005,-25.99040764,4956,19.32951668,-33.36798332
24783,2022/08/16,2,6496,20.32019376,-33.4568242,10648,18.59642821,-33.57055179
24784,2022/08/16,1,7045,27.90863638,-25.97472182,6966,19.25334042,-34.34905958
24793,2022/08/16,1,8277,30.65878212,-29.77108936,4971,18.52055895,-33.85041105
24714,2022/08/17,2,9203,30.70419527,-29.81415765,6084,18.28597681,-33.42832319
24716,2022/08/17,1,6662,29.91665456,-29.21727262,6915,20.26270608,-33.98259392
24717,2022/08/17,4,6662,29.92230837,-29.22940456,6996,19.08190822,-33.61196178
24719,2022/08/17,1,6549,29.99071642,-29.13088628,9663,19.01593174,-33.74328826
24724,2022/08/17,1,10640,28.05560966,-25.96865243,4938,18.73172568,-33.82697432
24737,2022/08/17,1,7078,28.1583513,-25.94653479,5940,18.52023046,-33.83146954
24767,2022/08/17,2,6578,29.98378239,-29.30638675,8450,19.62887648,-33.65122352
24768,2022/08/17,1,6578,29.98470911,-29.30999221,149,18.78777219,-33.64367781
24780,2022/08/17,1,6662,29.91195621,-29.21759445,6694,19.45847349,-33.35942651
24754,2022/08/18,4,9034,18.27134086,-31.33765358,7595,18.68367682,-33.14942318
24769,2022/08/18,2,9576,23.06393441,-27.66871997,7450,19.24410404,-34.14239596
24765,2022/08/19,1,6522,28.17233882,-25.91964663,6497,19.70895435,-33.85469565
24766,2022/08/19,7,6520,22.31890902,-33.95519338,6084,18.2772913,-33.4370087
25065,2022/08/19,2,7444,28.03698775,-25.91485038,5707,18.92547335,-33.75192665
25066,2022/08/19,1,7444,28.04013287,-25.90812868,7725,18.60728721,-33.57164279
25067,2022/08/19,2,7444,28.03405615,-25.91597269,7725,18.60785874,-33.57107126
24753,2022/08/20,1,10663,25.52470652,-34.0180647,5472,18.62171054,-33.81928946
24758,2022/08/20,1,9884,28.05499671,-25.6585575,10666,18.53704859,-33.61343141
24789,2022/08/20,1,7037,22.37161994,-33.95783184,8490,18.45547696,-34.00895304
24814,2022/08/22,1,6517,21.34567537,-34.29714493,6477,19.00822038,-33.82519962
24786,2022/08/23,1,6492,30.71854162,-29.81360419,64,18.82373342,-33.64756658
24804,2022/08/23,1,6549,29.97793527,-29.12913804,6694,19.45545846,-33.36244154
24805,2022/08/23,1,6549,29.98734099,-29.1314276,64,18.81266034,-33.65863966
24806,2022/08/23,1,6549,29.9756928,-29.13153945,149,18.78567261,-33.64577739
24788,2022/08/25,1,7483,23.00153297,-34.03050085,32,19.04829081,-33.72936919
24851,2022/08/25,1,6956,24.73986846,-28.87531613,6477,19.00895311,-33.82446689
24818,2022/08/26,1,6730,25.50181043,-34.02396416,9207,18.9439753,-33.5755947
24819,2022/08/26,1,6492,30.71825035,-29.82599166,6694,19.44093619,-33.37696381
24821,2022/08/26,16,6492,30.70669953,-29.83281216,6199,18.5490714,-34.0227286
24794,2022/08/28,1,6489,22.49128236,-33.97290761,5288,18.38226869,-34.09393131
24795,2022/08/28,1,6489,22.49409859,-33.97911626,5288,18.372389,-34.103811
24796,2022/08/28,2,6489,22.50335787,-33.96570622,4904,18.37630851,-34.09966149
24797,2022/08/28,1,6489,22.50909886,-33.97241358,5288,18.38352722,-34.09267278
24798,2022/08/28,2,6489,22.50537408,-33.9771271,7821,19.11778572,-33.91563428
24808,2022/08/28,2,6489,22.50015202,-33.96324728,7549,18.41540517,-34.07086483
24809,2022/08/28,1,6489,22.50882107,-33.9697453,7899,18.80555149,-33.84172851
24810,2022/08/28,2,6489,22.49376156,-33.97281847,7899,18.79930782,-33.84797218
